# {InputWorkspace: MoTe2_S1_P52_warm_up_201_2_target_175.0478actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P52_warm_up_201_2_target_175.0478actual_cuts }
# [0,0,L] in 0.449 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	1.85342e-05	1.26173e-06
-1.11	1.88209e-05	1.2699e-06
-1.09	1.85785e-05	1.26117e-06
-1.07	1.93622e-05	1.28364e-06
-1.05	1.97869e-05	1.29564e-06
-1.03	1.97942e-05	1.30114e-06
-1.01	1.96478e-05	1.30055e-06
-0.99	1.97849e-05	1.30141e-06
-0.97	2.03169e-05	1.31728e-06
-0.95	1.95624e-05	1.29712e-06
-0.93	1.96001e-05	1.29467e-06
-0.91	1.94687e-05	1.2931e-06
-0.89	1.89658e-05	1.27184e-06
-0.87	1.78555e-05	1.22792e-06
-0.85	1.67424e-05	1.19027e-06
-0.83	1.43257e-05	1.10566e-06
-0.81	1.37112e-05	1.07695e-06
-0.79	1.24398e-05	1.0266e-06
-0.77	1.1795e-05	1.01031e-06
-0.75	1.10856e-05	9.78658e-07
-0.73	1.0859e-05	9.68672e-07
-0.71	1.05086e-05	9.63947e-07
-0.69	1.03419e-05	9.54565e-07
-0.67	1.05994e-05	9.67613e-07
-0.65	9.84733e-06	9.31962e-07
-0.63	9.5636e-06	9.18849e-07
-0.61	9.13328e-06	8.91265e-07
-0.59	8.72215e-06	8.70726e-07
-0.57	9.23893e-06	8.97555e-07
-0.55	9.07252e-06	8.90729e-07
-0.53	9.05591e-06	8.89502e-07
-0.51	8.39523e-06	8.53242e-07
-0.49	7.5938e-06	8.11954e-07
-0.47	8.68475e-06	8.67804e-07
-0.45	8.74964e-06	8.71702e-07
-0.43	7.94346e-06	8.28593e-07
-0.41	8.19617e-06	8.35322e-07
-0.39	8.04035e-06	8.32869e-07
-0.37	7.8008e-06	8.19763e-07
-0.35	7.22314e-06	7.85732e-07
-0.33	7.56155e-06	8.02333e-07
-0.31	7.70506e-06	8.08983e-07
-0.29	7.53946e-06	8.06218e-07
-0.27	7.97057e-06	8.3247e-07
-0.25	7.95207e-06	8.3398e-07
-0.23	8.56885e-06	8.64854e-07
-0.21	7.93456e-06	8.34369e-07
-0.19	7.97846e-06	8.38625e-07
-0.17	8.26987e-06	8.64563e-07
-0.15	8.50309e-06	8.69016e-07
-0.13	8.61035e-06	8.79332e-07
-0.11	8.24117e-06	8.58223e-07
-0.09	8.27975e-06	8.62696e-07
-0.0700001	8.33981e-06	8.6017e-07
-0.0500001	7.88678e-06	8.43859e-07
-0.0300001	7.91537e-06	8.45965e-07
-0.00999999	8.24029e-06	8.67755e-07
0.00999999	8.39626e-06	8.69167e-07
