# {InputWorkspace: MoTe2_S1_P52_warm_up_201_8_target_304.2701actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P52_warm_up_201_8_target_304.2701actual_cuts }
# [0,0,L] in 0.449 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	1.64536e-05	1.18512e-06
-1.11	1.62344e-05	1.17273e-06
-1.09	1.53574e-05	1.15079e-06
-1.07	1.57294e-05	1.15899e-06
-1.05	1.51581e-05	1.13997e-06
-1.03	1.45002e-05	1.11053e-06
-1.01	1.50271e-05	1.13613e-06
-0.99	1.51002e-05	1.13532e-06
-0.97	1.49107e-05	1.13236e-06
-0.95	1.40635e-05	1.106e-06
-0.93	1.43773e-05	1.11887e-06
-0.91	1.41371e-05	1.11441e-06
-0.89	1.44331e-05	1.12304e-06
-0.87	1.43611e-05	1.11449e-06
-0.85	1.36745e-05	1.08701e-06
-0.83	1.38179e-05	1.09495e-06
-0.81	1.31413e-05	1.07102e-06
-0.79	1.37761e-05	1.09697e-06
-0.77	1.31034e-05	1.06144e-06
-0.75	1.309e-05	1.05683e-06
-0.73	1.31558e-05	1.06316e-06
-0.71	1.26124e-05	1.03107e-06
-0.69	1.28578e-05	1.04841e-06
-0.67	1.1493e-05	9.85736e-07
-0.65	1.15875e-05	9.87109e-07
-0.63	1.12244e-05	9.71805e-07
-0.61	1.17853e-05	9.96098e-07
-0.59	1.09081e-05	9.57483e-07
-0.57	1.08462e-05	9.54444e-07
-0.55	1.11471e-05	9.68034e-07
-0.53	1.00127e-05	9.19045e-07
-0.51	1.03295e-05	9.38987e-07
-0.49	1.02787e-05	9.36104e-07
-0.47	9.85564e-06	9.20832e-07
-0.45	9.11187e-06	8.88913e-07
-0.43	9.40098e-06	8.98618e-07
-0.41	9.61593e-06	9.09773e-07
-0.39	8.48631e-06	8.60548e-07
-0.37	8.65017e-06	8.68362e-07
-0.35	8.37226e-06	8.59497e-07
-0.33	9.11499e-06	8.89076e-07
-0.31	8.99363e-06	8.83926e-07
-0.29	9.01113e-06	8.88506e-07
-0.27	8.84369e-06	8.79459e-07
-0.25	8.26814e-06	8.50789e-07
-0.23	8.36556e-06	8.61341e-07
-0.21	8.0659e-06	8.41597e-07
-0.19	8.22277e-06	8.57112e-07
-0.17	9.00165e-06	8.96887e-07
-0.15	8.54734e-06	8.68443e-07
-0.13	8.38e-06	8.58685e-07
-0.11	8.53837e-06	8.76784e-07
-0.09	8.27814e-06	8.61311e-07
-0.0700001	7.93299e-06	8.35709e-07
-0.0500001	7.91632e-06	8.4375e-07
-0.0300001	8.26767e-06	8.65618e-07
-0.00999999	7.76561e-06	8.30813e-07
0.00999999	7.80218e-06	8.33816e-07
