# {InputWorkspace: MoTe2_S1_P52_cool_down_201_270K_target_283.8972actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P52_cool_down_201_270K_target_283.8972actual_cuts }
# [0,0,L] in 0.449 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	1.60281e-05	1.1693e-06
-1.11	1.57118e-05	1.15385e-06
-1.09	1.50598e-05	1.1303e-06
-1.07	1.49944e-05	1.12876e-06
-1.05	1.37355e-05	1.08072e-06
-1.03	1.37127e-05	1.08197e-06
-1.01	1.30673e-05	1.05848e-06
-0.99	1.29616e-05	1.05042e-06
-0.97	1.28547e-05	1.05065e-06
-0.95	1.29418e-05	1.05678e-06
-0.93	1.33081e-05	1.07308e-06
-0.91	1.3179e-05	1.07144e-06
-0.89	1.36996e-05	1.10199e-06
-0.87	1.31743e-05	1.07401e-06
-0.85	1.28877e-05	1.06515e-06
-0.83	1.34597e-05	1.07817e-06
-0.81	1.32193e-05	1.07592e-06
-0.79	1.40495e-05	1.10453e-06
-0.77	1.33939e-05	1.07685e-06
-0.75	1.36137e-05	1.0846e-06
-0.73	1.40677e-05	1.09802e-06
-0.71	1.30439e-05	1.05369e-06
-0.69	1.22718e-05	1.02712e-06
-0.67	1.28733e-05	1.0451e-06
-0.65	1.24423e-05	1.02982e-06
-0.63	1.3365e-05	1.0599e-06
-0.61	1.18549e-05	9.94654e-07
-0.59	1.19792e-05	9.95878e-07
-0.57	1.14209e-05	9.71356e-07
-0.55	1.1573e-05	9.84269e-07
-0.53	1.12933e-05	9.72062e-07
-0.51	1.03258e-05	9.30168e-07
-0.49	1.05103e-05	9.42012e-07
-0.47	1.04548e-05	9.45881e-07
-0.45	1.03154e-05	9.39374e-07
-0.43	1.002e-05	9.27872e-07
-0.41	1.01676e-05	9.35897e-07
-0.39	8.94219e-06	8.83024e-07
-0.37	9.37313e-06	9.04391e-07
-0.35	9.29312e-06	9.03624e-07
-0.33	9.35655e-06	9.03032e-07
-0.31	9.03936e-06	8.88409e-07
-0.29	9.71609e-06	9.21242e-07
-0.27	9.13254e-06	8.94816e-07
-0.25	9.01483e-06	8.95655e-07
-0.23	9.06451e-06	8.95437e-07
-0.21	8.20987e-06	8.56746e-07
-0.19	8.71799e-06	8.78377e-07
-0.17	7.86138e-06	8.34807e-07
-0.15	8.40275e-06	8.57054e-07
-0.13	8.36042e-06	8.61224e-07
-0.11	8.09667e-06	8.48769e-07
-0.09	8.24088e-06	8.57001e-07
-0.0700001	8.30411e-06	8.57361e-07
-0.0500001	8.04716e-06	8.47591e-07
-0.0300001	8.1705e-06	8.56074e-07
-0.00999999	8.06104e-06	8.49514e-07
0.00999999	8.08913e-06	8.45828e-07
