Cycle: (Cycle #)
Experiment #: 418
Proposal ID: 32124
Instrument: CG4C
Experiment Title: Investigation of Spin Waves and Magnetic Interactions in NiTiO3
Session Start Time: 04/29/2024  02:22:51 PM

Parameters Logged:
Device Name	Timestamp	Value
vti	04/29/2024  02:23:50 PM	0.0000
sample	04/29/2024  02:23:50 PM	0.0000
vti	04/29/2024  02:24:50 PM	0.0000
sample	04/29/2024  02:24:50 PM	0.0000
vti	04/29/2024  02:25:50 PM	0.0000
sample	04/29/2024  02:25:50 PM	0.0000
vti	04/29/2024  02:26:50 PM	0.0000
sample	04/29/2024  02:26:50 PM	0.0000
vti	04/29/2024  02:27:50 PM	0.0000
sample	04/29/2024  02:27:50 PM	0.0000
vti	04/29/2024  02:28:50 PM	0.0000
sample	04/29/2024  02:28:50 PM	0.0000
vti	04/29/2024  02:29:50 PM	0.0000
sample	04/29/2024  02:29:50 PM	0.0000
vti	04/29/2024  02:30:50 PM	0.0000
sample	04/29/2024  02:30:50 PM	0.0000
vti	04/29/2024  02:31:50 PM	0.0000
sample	04/29/2024  02:31:50 PM	0.0000
vti	04/29/2024  02:32:50 PM	0.0000
sample	04/29/2024  02:32:50 PM	0.0000
vti	04/29/2024  02:33:50 PM	0.0000
sample	04/29/2024  02:33:50 PM	0.0000
vti	04/29/2024  02:34:50 PM	0.0000
sample	04/29/2024  02:34:50 PM	0.0000
vti	04/29/2024  02:35:50 PM	0.0000
sample	04/29/2024  02:35:50 PM	0.0000
vti	04/29/2024  02:36:50 PM	0.0000
sample	04/29/2024  02:36:50 PM	0.0000
vti	04/29/2024  02:37:50 PM	0.0000
sample	04/29/2024  02:37:50 PM	0.0000
vti	04/29/2024  02:38:50 PM	0.0000
sample	04/29/2024  02:38:50 PM	0.0000
vti	04/29/2024  02:39:50 PM	0.0000
sample	04/29/2024  02:39:50 PM	0.0000
vti	04/29/2024  02:40:50 PM	0.0000
sample	04/29/2024  02:40:50 PM	0.0000
vti	04/29/2024  02:41:50 PM	0.0000
sample	04/29/2024  02:41:50 PM	0.0000
vti	04/29/2024  02:42:50 PM	0.0000
sample	04/29/2024  02:42:50 PM	0.0000
vti	04/29/2024  02:43:50 PM	0.0000
sample	04/29/2024  02:43:50 PM	0.0000
vti	04/29/2024  02:44:50 PM	0.0000
