        6.02500   255319.14893617    12035.86010530
        6.07500   275177.30496454    12495.15775634
        6.12500   253049.64539007    11982.24798975
        6.17500   253049.64539007    11982.24798975
        6.22500   237163.12056738    11600.02740440
        6.27500   261560.28368794    12182.07690983
        6.32500   270070.92198582    12378.68041377
        6.37500   267801.41843972    12326.55942264
        6.42500   259290.78014184    12129.11110720
        6.47500   260425.53191489    12155.62285709
        6.52500   252482.26950355    11968.80743814
        6.57500   259858.15602837    12142.37421789
        6.62500   232056.73758865    11474.46718647
        6.67500   246241.13475177    11819.95271262
        6.72500   247375.88652482    11847.15632217
        6.77500   235460.99290780    11558.32555317
        6.82500   238865.24822695    11641.57987443
        6.87500   247943.26241135    11860.73472929
        6.92500   266099.29078014    12287.32359019
        6.97500   269503.54609929    12365.67076182
        7.02500   249645.39007092    11901.37700051
        7.07500   253617.02127660    11995.67348191
        7.12500   255319.14893617    12035.86010530
        7.17500   264964.53900709    12261.09661559
        7.22500   250212.76595745    11914.89361702
        7.27500   258723.40425532    12115.83347748
        7.32500   235460.99290780    11558.32555317
        7.37500   226382.97872340    11333.32445699
        7.42500   242836.87943262    11737.96361168
        7.47500   257021.27659574    12075.91299506
        7.52500   232056.73758865    11474.46718647
        7.57500   273475.17730496    12456.45299296
        7.62500   254184.39716312    12009.08396512
        7.67500   259858.15602837    12142.37421789
        7.72500   246808.51063830    11833.56233453
        7.77500   265531.91489362    12274.21710796
        7.82500   247375.88652482    11847.15632217
        7.87500   243971.63120567    11765.35679621
        7.92500   253617.02127660    11995.67348191
        7.97500   250212.76595745    11914.89361702
        8.02500   248510.63829787    11874.29760934
        8.07500   264964.53900709    12261.09661559
        8.12500   245673.75886525    11806.32740237
        8.17500   247943.26241135    11860.73472929
        8.22500   251347.51773050    11941.88095311
        8.27500   240000.00000000    11669.19931983
        8.32500   228085.10638298    11375.85115221
        8.37500   247375.88652482    11847.15632217
        8.42500   242269.50354610    11724.24301831
        8.47500   242269.50354610    11724.24301831
        8.52500   247375.88652482    11847.15632217
        8.57500   230354.60992908    11432.30733595
        8.62500   244171.25900805     8306.87492254
        8.67500   245019.07587961     8321.28408328
        8.72500   248975.55461354     8388.19956459
        8.77500   245301.68150346     8326.08159540
        8.82500   244171.25900805     8306.87492254
        8.87500   240497.38589798     8244.14421128
        8.92500   257453.72332909     8529.82239524
        8.97500   246149.49837502     8340.45757432
        9.02500   254627.66709058     8482.87750166
        9.07500   254062.45584287     8473.45731274
        9.12500   246149.49837502     8340.45757432
        9.17500   239932.17465028     8234.45091668
        9.22500   246432.10399887     8345.24406400
        9.27500   241910.41401724     8268.32773114
        9.32500   252366.82209976     8445.13369930
        9.37500   245019.07587961     8321.28408328
        9.42500   239084.35777872     8219.88954204
        9.47500   260279.77956761     8576.51033234
        9.52500   239084.35777872     8219.88954204
        9.57500   237671.32965946     8195.56309171
        9.62500   244171.25900805     8306.87492254
        9.67500   231171.40031087     8082.71846606
        9.72500   249258.16023739     8392.95882714
        9.77500   245019.07587961     8321.28408328
        9.82500   250388.58273280     8411.96895076
        9.87500   237388.72403561     8190.68913166
        9.92500   243888.65338420     8302.06631147
        9.97500   244453.86463191     8311.68075165
       10.02500   235127.87904479     8151.59254026
       10.07500   239084.35777872     8219.88954204
       10.12500   235975.69591635     8166.27569693
       10.17500   239366.96340257     8224.74619802
       10.22500   241345.20276954     8258.66282108
       10.27500   243888.65338420     8302.06631147
       10.32500   251801.61085206     8435.67136165
       10.37500   242475.62526494     8277.98135700
       10.42500   244736.47025576     8316.48380362
       10.47500   236258.30154020     8171.16421919
       10.52500   229193.16094390     8048.06040181
       10.57500   230606.18906316     8072.83134497
       10.62500   246714.70962272     8350.02780992
       10.67500   233149.63967783     8117.22855241
       10.72500   246432.10399887     8345.24406400
       10.77500   239932.17465028     8234.45091668
       10.82500   244453.86463191     8311.68075165
       10.87500   240779.99152183     8248.98658716
       10.92500   228062.73844850     8028.18861740
       10.97500   236540.90716405     8176.04981856
       11.02500   245019.07587961     8321.28408328
       11.07500   252084.21647591     8440.40385647
       11.12500   246432.10399887     8345.24406400
       11.17500   239649.56902642     8229.59998788
       11.22500   237953.93528331     8200.43415489
       11.27500   249930.10902991     6825.02410720
       11.32500   233529.02804958     6597.28637422
       11.37500   239865.80933743     6686.19555108
       11.42500   239865.80933743     6686.19555108
       11.47500   224210.23203802     6464.31653938
       11.52500   242288.69630044     6719.87936905
       11.57500   245643.46286460     6766.24167763
       11.62500   224955.73571895     6475.05461412
       11.67500   229808.49292256     7986.39720785
       11.72500   247849.01470996     8293.95103940
       11.77500   221482.09825146     7840.38128883
       11.82500   250346.93311130     8335.64108670
       11.87500   237302.24812656     8115.56564930
       11.92500   236469.60865945     8101.31530354
       11.97500   251457.11906744     8354.10321582
       12.02500   253399.94449070     8386.31414362
       12.07500   242298.08492923     8200.54771174
       12.12500   234526.78323619     8067.96661324
       12.17500   242853.17790730     8209.93586331
       12.22500   243130.72439634     8214.62591560
       12.27500   229253.39994449     7976.74596903
       12.32500   231751.31834582     8020.08508288
       12.37500   245628.64279767     8256.71650327
       12.42500   242575.63141826     8205.24313022
       12.47500   240355.25950597     8167.60420181
       12.52500   236747.15514849     8106.06820234
       12.57500   233139.05079101     8044.06147443
       12.62500   222869.83069664     7864.90553167
       12.67500   231751.31834582     8020.08508288
       12.72500   231196.22536775     8010.47443223
       12.77500   247571.46822093     8289.30586904
       12.82500   231473.77185679     8015.28119800
       12.87500   245351.09630863     8252.05037320
       12.92500   233139.05079101     8044.06147443
       12.97500   233971.69025812     8058.41306742
