# scan = 73
# date = 4/30/2024
# time = 9:38:29 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan stu 10 -10 1
# builtin_command = scan stu 10 -10 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.808960,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008468,0.023267,0.023267,-0.071920,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_91824AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = stu
# def_y = detector
# col_headers = 
#   Pt.        stu       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
     11     0.0000      1.000 111430.000   2566.000      1.166    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.2611    40.6158     1.000
     12    -1.0000      1.000 112941.000   2529.000      1.150    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.1423    40.4892     1.000
     13    -2.0000      1.000 112958.000   2569.000      1.168    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.0431    40.3845     1.000
     14    -3.0000      1.000 113344.000   2542.000      1.155    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.9435    40.2782     1.000
     15    -4.0000      1.000 111780.000   2574.000      1.170    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.8432    40.1707     1.000
     16    -5.0000      1.000 109854.000   2537.000      1.153    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.7406    40.0620     1.000
     17    -6.0000      1.000 106577.000   2582.000      1.174    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.6136    39.9212     1.000
     18    -7.0000      1.000 102163.000   2572.000      1.169    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.5105    39.8133     1.000
     19    -8.0000      1.000  95680.000   2638.000      1.199    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.4075    39.7028     1.000
     20    -9.0000      1.000  87777.000   2488.000      1.131    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.2810    39.5748     1.000
     21   -10.0000      1.000  77348.000   2592.000      1.178    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    36.1765    39.4583     1.000
# Sum of Counts = 2058306
# Center of Mass = -0.380063+/-0.003947
# Full Width Half-Maximum = 11.273631+/-0.006907
# 9:39:16 AM  4/30/2024   scan completed.
