# scan = 66
# date = 4/30/2024
# time = 9:09:16 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan bar 0 25 1
# builtin_command = scan bar 0 25 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.816454,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008463,0.023267,0.023267,-0.071881,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_85402AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bar
# def_y = detector
# col_headers = 
#   Pt.        bar       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
     13    12.0000      1.000 113428.000   2555.000      1.161    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    94.3141   103.4380     1.000
     14    13.0000      1.000 113482.000   2483.000      1.129    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    94.2247   103.3380     1.000
     15    14.0000      1.000 113139.000   2525.000      1.148    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    94.1225   103.2130     1.000
     16    15.0000      1.000 113805.000   2602.000      1.183    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    94.0187   103.0870     1.000
     17    16.0000      1.000 112967.000   2413.000      1.097    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.9316   102.9860     1.000
     18    17.0000      1.000 112944.000   2620.000      1.191    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.8329   102.8660     1.000
     19    18.0000      1.000 112988.000   2620.000      1.191    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.7286   102.7390     1.000
     20    19.0000      1.000 113236.000   2545.000      1.157    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.6410   102.6320     1.000
     21    20.0000      1.000 112971.000   2509.000      1.140    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.5404   102.5130     1.000
     22    21.0000      1.000 113488.000   2662.000      1.210    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.4405   102.3900     1.000
     23    22.0000      1.000 113587.000   2564.000      1.165    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.3537   102.2830     1.000
     24    23.0000      1.000 113150.000   2544.000      1.156    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.2538   102.1610     1.000
     25    24.0000      1.000 112962.000   2497.000      1.135    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.1514   102.0420     1.000
     26    25.0000      1.000 113331.000   2522.000      1.146    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    93.0655   101.9380     1.000
# Sum of Counts = 2853602
# Center of Mass = 12.872675+/-0.011614
# Full Width Half-Maximum = 14.624623+/-0.008541
# 9:11:06 AM  4/30/2024   scan completed.
