# scan = 504
# date = 5/3/2024
# time = 11:37:05 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 1.4 k 0 l 0 e 2.9 0.1 0.1 preset mcu 60
# builtin_command = scan h 1.4 k 0 l 0 e 2.9 0.1 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = inelastic scans in H0L plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.027293,5.027293,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.142605,-0.075642,0.056767,-0.179972,-0.092589,-0.045001,0.005468,-0.196116,-0.000650
# mode = 0
# plane_normal = 0.021815,0.013086,0.999676
# ubconf = UB03May2024_95238AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
     11     1.4000    -0.0000    -0.0000     1.9000     56.317      2.000 132001.000     60.000    92.8037   144.5457   -70.9087     0.4200    -1.0000    29.4480    -1.5825    87.0905    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.4000     3.5000     1.4904     1.4645     1.000
     12     1.4000    -0.0000     0.0000     1.8000     55.618      3.000 132001.000     60.000    93.6841   144.1616   -71.6767     0.4200    -1.0000    29.2520    -1.6075    87.7290    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.3000     3.5000     1.4904     1.4619     1.000
     13     1.4000     0.0000    -0.0000     1.7000     56.939      1.000 132001.000     60.000    94.5813   143.7646   -72.4707     0.4200    -1.0000    29.0560    -1.6250    88.3792    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.2000     3.5000     1.4906     1.4627     1.000
     14     1.4000     0.0000    -0.0000     1.6000     58.288      2.000 132001.000     60.000    95.4958   143.3539   -73.2922     0.4200    -1.0000    28.8600    -1.6375    89.0416    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.1000     3.5000     1.4908     1.4655     1.000
     15     1.4000     0.0000     0.0001     1.5000     56.665      1.000 132001.000     60.000    96.4474   142.9286   -74.1428     0.4200    -1.0000    28.6600    -1.6450    89.7170    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.0000     3.5000     1.4910     1.4655     1.000
     16     1.4000    -0.0000    -0.0001     1.4000     53.581      2.000 132001.000     60.000    97.4378   142.4878   -75.0243     0.4200    -1.0000    28.4560    -1.6425    90.4058    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.9000     3.5000     1.4911     1.4642     1.000
     17     1.4000    -0.0000     0.0001     1.3000     51.540      1.000 132001.000     60.000    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    -1.6375    91.1091    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.8000     3.5000     1.4912     1.4638     1.000
     18     1.4000     0.0000    -0.0002     1.2000     51.608      2.000 132001.000     60.000    99.4809   141.5559   -76.8882     0.4200    -1.0000    28.0480    -1.6175    91.8274    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.7000     3.5000     1.4915     1.4631     1.000
     19     1.4000     0.0000     0.0001     1.1000     52.225      1.000 132001.000     60.000   100.5558   141.0625   -77.8751     0.4200    -1.0000    27.8400    -1.5975    92.5616    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.6000     3.5000     1.4917     1.4751     1.000
     20     1.4000     0.0000     0.0001     1.0000     52.620      1.000 132001.000     60.000   101.6756   140.5490   -78.9019     0.4200    -1.0000    27.6280    -1.5650    93.3128    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.5000     3.5000     1.4919     1.4682     1.000
