# scan = 74
# date = 4/30/2024
# time = 9:39:20 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan stl 10 -10 1
# builtin_command = scan stl 10 -10 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.808960,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008468,0.023267,0.023267,-0.071920,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_91824AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = stl
# def_y = detector
# col_headers = 
#   Pt.        stl       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
     11     0.0000      1.000 111530.000   2578.000      1.172    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.5399    37.7398     1.000
     12    -1.0000      1.000 112578.000   2525.000      1.148    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.4240    37.6135     1.000
     13    -2.0000      1.000 112740.000   2459.000      1.118    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.3111    37.4972     1.000
     14    -3.0000      1.000 113395.000   2570.000      1.168    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.1656    37.3401     1.000
     15    -4.0000      1.000 113142.000   2490.000      1.132    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.0502    37.2204     1.000
     16    -5.0000      1.000 112195.000   2559.000      1.163    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    33.9121    37.1005     1.000
     17    -6.0000      1.000 111672.000   2589.000      1.177    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    33.7909    36.9483     1.000
     18    -7.0000      1.000 110208.000   2683.000      1.220    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    33.6731    36.8246     1.000
     19    -8.0000      1.000 107351.000   2606.000      1.185    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    33.5477    36.6947     1.000
     20    -9.0000      1.000 103408.000   2614.000      1.188    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    33.4284    36.5697     1.000
     21   -10.0000      1.000  97569.000   2481.000      1.128    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    33.2775    36.4123     1.000
# Sum of Counts = 2215620
# Center of Mass = -0.253513+/-0.003964
# Full Width Half-Maximum = 11.780039+/-0.006889
# 9:40:08 AM  4/30/2024   scan completed.
