# scan = 455
# date = 5/2/2024
# time = 4:34:38 PM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 0 k 0 l 1.6 e 1.6 4 0.1 preset mcu 60
# builtin_command = scan h 0 k 0 l 1.6 e 1.6 4 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = elastic scans at T=53
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.013468,5.013468,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.199159,-0.197149,-0.008262,0.022749,0.022749,-0.071970,0.113426,-0.116885,-0.000072
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_100100AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
     11    -0.0000    -0.0000     1.6000     2.6000     61.508      5.000 132001.000     60.000    79.2865   150.2968   -59.4063     0.4200    -1.0000    33.0040   -43.0200    21.3600     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     7.4000     4.8000     1.4741     1.4660     1.000
     12     0.0000     0.0000     1.6000     2.7000     61.658      3.000 132001.000     60.000    78.7446   150.5152   -58.9695     0.4200    -1.0000    33.1720   -42.0275    21.0266     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     7.5000     4.8000     1.4741     1.4582     1.000
     13    -0.0000    -0.0000     1.6000     2.8000     62.055      5.000 132001.000     60.000    78.2354   150.7288   -58.5423     0.4200    -1.0000    33.3320   -41.0325    20.6859     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     7.6000     4.8000     1.4740     1.4606     1.000
     14     0.0000     0.0000     1.6000     2.9000     62.116      4.000 132001.000     60.000    77.7202   150.9378   -58.1243     0.4200    -1.0000    33.4960   -40.0300    20.3376     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     7.7000     4.8000     1.4739     1.4613     1.000
     15    -0.0000    -0.0000     1.6000     3.0000     62.310      3.000 132001.000     60.000    77.2241   151.1424   -57.7152     0.4200    -1.0000    33.6560   -39.0250    19.9816     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     7.8000     4.8000     1.4740     1.4596     1.000
     16     0.0000     0.0000     1.6000     3.1000     62.292      3.000 132001.000     60.000    76.7343   151.3427   -57.3146     0.4200    -1.0000    33.8160   -38.0100    19.6175     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     7.9000     4.8000     1.4740     1.4626     1.000
     17    -0.0000    -0.0000     1.6000     3.2000     62.209      2.000 132001.000     60.000    76.2507   151.5388   -56.9223     0.4200    -1.0000    33.9760   -36.9900    19.2450     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.0000     4.8000     1.4740     1.4659     1.000
     18     0.0000     0.0000     1.6000     3.3000     62.654      8.000 132001.000     60.000    75.7731   151.7310   -56.5380     0.4200    -1.0000    34.1360   -35.9575    18.8637     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.1000     4.8000     1.4740     1.4568     1.000
     19     0.0000     0.0000     1.6000     3.4000     62.868      5.000 132001.000     60.000    75.3132   151.9192   -56.1615     0.4200    -1.0000    34.2920   -34.9175    18.4731     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.2000     4.8000     1.4739     1.4617     1.000
     20    -0.0000    -0.0000     1.6000     3.5000     63.343      9.000 132001.000     60.000    74.8588   152.1038   -55.7924     0.4200    -1.0000    34.4480   -33.8675    18.0728     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.3000     4.8000     1.4740     1.4676     1.000
     21    -0.0000    -0.0000     1.6000     3.6000     62.988     24.000 132001.000     60.000    74.4099   152.2848   -55.4305     0.4200    -1.0000    34.6040   -32.8025    17.6622     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.4000     4.8000     1.4739     1.4575     1.000
     22    -0.0000    -0.0000     1.6000     3.7000     63.272     14.000 132001.000     60.000    73.9777   152.4622   -55.0756     0.4200    -1.0000    34.7560   -31.7250    17.2408     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.5000     4.8000     1.4740     1.4653     1.000
     23    -0.0000    -0.0000     1.6000     3.8000     63.464      8.000 132001.000     60.000    73.5392   152.6362   -54.7275     0.4200    -1.0000    34.9120   -30.6300    16.8076     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.6000     4.8000     1.4740     1.4598     1.000
     24    -0.0000    -0.0000     1.6000     3.9000     63.541      5.000 132001.000     60.000    73.1170   152.8070   -54.3860     0.4200    -1.0000    35.0640   -29.5200    16.3620     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.7000     4.8000     1.4740     1.4688     1.000
     25     0.0000     0.0000     1.6000     4.0000     63.581      4.000 132001.000     60.000    72.6996   152.9746   -54.0507     0.4200    -1.0000    35.2160   -28.3850    15.9030     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.7283     8.8000     4.8000     1.4739     1.4524     1.000
# Sum of Counts = 134
# Center of Mass = 3.090299+/-0.382541
# Full Width Half-Maximum = 1.427422+/-0.207877
# 5:06:06 PM  5/2/2024   scan completed.
