# {InputWorkspace: MoTe2_S1_P19_warm_up_201_220K_target_214.3704actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P19_warm_up_201_220K_target_214.3704actual_cuts }
# [0,0,L] in 0.447 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	1.58366e-05	1.19209e-06
-1.17	1.68148e-05	1.22978e-06
-1.15	1.8475e-05	1.28652e-06
-1.13	1.96532e-05	1.32775e-06
-1.11	1.98227e-05	1.32178e-06
-1.09	2.0979e-05	1.36407e-06
-1.07	2.22025e-05	1.39949e-06
-1.05	2.21149e-05	1.38878e-06
-1.03	2.35508e-05	1.43854e-06
-1.01	2.38739e-05	1.44961e-06
-0.99	2.52825e-05	1.49427e-06
-0.97	2.53887e-05	1.49764e-06
-0.95	2.56311e-05	1.50068e-06
-0.93	2.50904e-05	1.48751e-06
-0.91	2.5652e-05	1.50937e-06
-0.89	2.46369e-05	1.47762e-06
-0.87	2.27794e-05	1.41292e-06
-0.85	2.1967e-05	1.38289e-06
-0.83	2.08453e-05	1.33708e-06
-0.81	1.84781e-05	1.26086e-06
-0.79	1.84577e-05	1.25791e-06
-0.77	1.67833e-05	1.19904e-06
-0.75	1.50486e-05	1.13092e-06
-0.73	1.31659e-05	1.0583e-06
-0.71	1.2343e-05	1.02115e-06
-0.69	1.101e-05	9.75201e-07
-0.67	1.05621e-05	9.48682e-07
-0.65	9.88685e-06	9.24447e-07
-0.63	9.37762e-06	9.01133e-07
-0.61	8.83884e-06	8.75494e-07
-0.59	8.70848e-06	8.74421e-07
-0.57	8.64826e-06	8.76692e-07
-0.55	8.5355e-06	8.64578e-07
-0.53	8.29924e-06	8.58795e-07
-0.51	8.97072e-06	8.93294e-07
-0.49	8.14257e-06	8.50801e-07
-0.47	8.54954e-06	8.73943e-07
-0.45	8.50309e-06	8.69053e-07
-0.43	8.04051e-06	8.49979e-07
-0.41	7.91423e-06	8.43244e-07
-0.39	8.40034e-06	8.68924e-07
-0.37	8.66563e-06	8.84788e-07
-0.35	7.98506e-06	8.43223e-07
-0.33	7.99796e-06	8.40181e-07
-0.31	8.23553e-06	8.55435e-07
-0.29	8.35861e-06	8.64273e-07
-0.27	8.56264e-06	8.73571e-07
-0.25	7.91407e-06	8.3194e-07
-0.23	7.77708e-06	8.26044e-07
-0.21	8.71363e-06	8.70043e-07
-0.19	8.41484e-06	8.6346e-07
-0.17	8.81863e-06	8.72876e-07
-0.15	8.96072e-06	8.77395e-07
-0.13	9.60059e-06	9.1162e-07
-0.11	8.46504e-06	8.54974e-07
-0.09	9.16356e-06	8.86019e-07
-0.0700001	8.69864e-06	8.69233e-07
-0.0500001	9.0192e-06	8.75537e-07
-0.0300001	9.1774e-06	8.8985e-07
