# {InputWorkspace: MoTe2_S1_P19_warm_up_201_280K_target_274.5747actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P19_warm_up_201_280K_target_274.5747actual_cuts }
# [0,0,L] in 0.447 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	1.43578e-05	1.13078e-06
-1.17	1.66298e-05	1.21232e-06
-1.15	1.62852e-05	1.20375e-06
-1.13	1.71901e-05	1.2398e-06
-1.11	1.73468e-05	1.24195e-06
-1.09	1.79053e-05	1.25849e-06
-1.07	1.86555e-05	1.28689e-06
-1.05	2.00066e-05	1.334e-06
-1.03	2.04263e-05	1.34579e-06
-1.01	2.0928e-05	1.35869e-06
-0.99	2.01815e-05	1.33437e-06
-0.97	2.18204e-05	1.38986e-06
-0.95	2.14448e-05	1.37964e-06
-0.93	2.21557e-05	1.40339e-06
-0.91	2.11781e-05	1.37101e-06
-0.89	2.1068e-05	1.36944e-06
-0.87	2.10054e-05	1.36833e-06
-0.85	1.94316e-05	1.30922e-06
-0.83	2.02215e-05	1.33312e-06
-0.81	1.8771e-05	1.2864e-06
-0.79	1.78901e-05	1.25748e-06
-0.77	1.64557e-05	1.1974e-06
-0.75	1.54756e-05	1.15374e-06
-0.73	1.37801e-05	1.09254e-06
-0.71	1.31139e-05	1.06263e-06
-0.69	1.23642e-05	1.03746e-06
-0.67	1.17519e-05	1.00983e-06
-0.65	1.09943e-05	9.81337e-07
-0.63	1.12495e-05	9.98594e-07
-0.61	1.07345e-05	9.699e-07
-0.59	1.05357e-05	9.5927e-07
-0.57	1.1057e-05	9.84828e-07
-0.55	1.00307e-05	9.43572e-07
-0.53	1.05666e-05	9.67466e-07
-0.51	9.96689e-06	9.38084e-07
-0.49	9.82479e-06	9.30783e-07
-0.47	9.42739e-06	9.1497e-07
-0.45	1.04236e-05	9.67164e-07
-0.43	9.80253e-06	9.36967e-07
-0.41	1.00322e-05	9.49304e-07
-0.39	9.07165e-06	8.97428e-07
-0.37	1.00572e-05	9.49853e-07
-0.35	9.31286e-06	9.1035e-07
-0.33	9.6608e-06	9.20935e-07
-0.31	9.45435e-06	9.13591e-07
-0.29	9.45473e-06	9.14893e-07
-0.27	8.85163e-06	8.81128e-07
-0.25	8.6441e-06	8.68009e-07
-0.23	8.15952e-06	8.4288e-07
-0.21	8.75503e-06	8.74277e-07
-0.19	8.56499e-06	8.60895e-07
-0.17	8.76338e-06	8.72782e-07
-0.15	8.70379e-06	8.65844e-07
-0.13	8.56097e-06	8.60172e-07
-0.11	8.74636e-06	8.74375e-07
-0.09	8.20644e-06	8.42166e-07
-0.0700001	8.48015e-06	8.61685e-07
-0.0500001	8.63639e-06	8.68573e-07
-0.0300001	8.70242e-06	8.74868e-07
-0.00999999	9.0903e-06	8.88956e-07
