# {InputWorkspace: MoTe2_S1_P19_cool_down_201_290K_target_293.2557actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P19_cool_down_201_290K_target_293.2557actual_cuts }
# [0,0,L] in 0.447 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	1.93774e-05	1.31025e-06
-1.17	1.958e-05	1.31235e-06
-1.15	1.89242e-05	1.28954e-06
-1.13	1.83657e-05	1.27216e-06
-1.11	1.82582e-05	1.26831e-06
-1.09	1.73599e-05	1.22804e-06
-1.07	1.65513e-05	1.2026e-06
-1.05	1.6802e-05	1.21082e-06
-1.03	1.61068e-05	1.18771e-06
-1.01	1.5759e-05	1.16833e-06
-0.99	1.54667e-05	1.16122e-06
-0.97	1.54642e-05	1.1615e-06
-0.95	1.49356e-05	1.14314e-06
-0.93	1.39761e-05	1.10337e-06
-0.91	1.41926e-05	1.1176e-06
-0.89	1.37412e-05	1.10618e-06
-0.87	1.45504e-05	1.14025e-06
-0.85	1.46738e-05	1.15028e-06
-0.83	1.46125e-05	1.14858e-06
-0.81	1.47137e-05	1.15119e-06
-0.79	1.55123e-05	1.18053e-06
-0.77	1.4523e-05	1.14212e-06
-0.75	1.52808e-05	1.1735e-06
-0.73	1.52526e-05	1.1766e-06
-0.71	1.53472e-05	1.18083e-06
-0.69	1.5615e-05	1.19077e-06
-0.67	1.55793e-05	1.18527e-06
-0.65	1.5213e-05	1.17225e-06
-0.63	1.52721e-05	1.17968e-06
-0.61	1.52888e-05	1.17573e-06
-0.59	1.52187e-05	1.17265e-06
-0.57	1.40994e-05	1.12453e-06
-0.55	1.36792e-05	1.10867e-06
-0.53	1.26783e-05	1.06231e-06
-0.51	1.21637e-05	1.03953e-06
-0.49	1.27279e-05	1.05881e-06
-0.47	1.20053e-05	1.02824e-06
-0.45	1.18467e-05	1.02015e-06
-0.43	1.08505e-05	9.76894e-07
-0.41	1.11088e-05	9.89657e-07
-0.39	9.91151e-06	9.3209e-07
-0.37	1.07593e-05	9.70157e-07
-0.35	9.7667e-06	9.24174e-07
-0.33	9.06555e-06	8.82133e-07
-0.31	9.73402e-06	9.23528e-07
-0.29	8.87598e-06	8.79825e-07
-0.27	9.07517e-06	8.85158e-07
-0.25	9.31265e-06	8.99298e-07
-0.23	8.6489e-06	8.64779e-07
-0.21	9.22414e-06	8.99714e-07
-0.19	9.07288e-06	8.87949e-07
-0.17	8.4567e-06	8.58128e-07
-0.15	8.58741e-06	8.6415e-07
-0.13	8.90703e-06	8.80471e-07
-0.11	8.47467e-06	8.61203e-07
-0.09	8.05655e-06	8.46883e-07
-0.0700001	8.13089e-06	8.45303e-07
-0.0500001	7.76424e-06	8.3308e-07
-0.0300001	8.84047e-06	8.86873e-07
