# {InputWorkspace: MoTe2_S1_P37_cool_down_201_160K_target_175.0718actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P37_cool_down_201_160K_target_175.0718actual_cuts }
# [0,0,L] in 0.462 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	-nan	-nan
-1.11	-nan	-nan
-1.09	1.81164e-05	1.24764e-06
-1.07	2.00534e-05	1.31553e-06
-1.05	1.87965e-05	1.26771e-06
-1.03	2.01966e-05	1.32773e-06
-1.01	2.07902e-05	1.35014e-06
-0.99	2.15807e-05	1.37482e-06
-0.97	2.07346e-05	1.34105e-06
-0.95	2.11611e-05	1.35334e-06
-0.93	2.05696e-05	1.33227e-06
-0.91	2.14672e-05	1.36238e-06
-0.89	2.07952e-05	1.3405e-06
-0.87	2.09575e-05	1.34311e-06
-0.85	2.11002e-05	1.35277e-06
-0.83	1.99816e-05	1.31932e-06
-0.81	1.77077e-05	1.24658e-06
-0.79	1.78104e-05	1.25393e-06
-0.77	1.67667e-05	1.22397e-06
-0.75	1.55295e-05	1.16685e-06
-0.73	1.41018e-05	1.11595e-06
-0.71	1.26616e-05	1.04613e-06
-0.69	1.17335e-05	1.012e-06
-0.67	1.13508e-05	9.99873e-07
-0.65	1.03813e-05	9.45984e-07
-0.63	1.06947e-05	9.46223e-07
-0.61	9.82162e-06	8.97007e-07
-0.59	9.76491e-06	8.94142e-07
-0.57	9.41258e-06	8.82702e-07
-0.55	1.00153e-05	9.25086e-07
-0.53	9.08583e-06	8.70497e-07
-0.51	9.06632e-06	8.6374e-07
-0.49	8.35821e-06	8.34305e-07
-0.47	8.99468e-06	8.69534e-07
-0.45	8.2065e-06	8.35987e-07
-0.43	8.48696e-06	8.57102e-07
-0.41	8.45659e-06	8.60043e-07
-0.39	8.13226e-06	8.40512e-07
-0.37	8.21343e-06	8.44958e-07
-0.35	8.02527e-06	8.3888e-07
-0.33	7.83901e-06	8.32102e-07
-0.31	8.84991e-06	8.80413e-07
-0.29	8.23613e-06	8.5358e-07
-0.27	8.23183e-06	8.51088e-07
-0.25	8.00185e-06	8.39842e-07
-0.23	8.37401e-06	8.58728e-07
-0.21	8.83447e-06	8.77185e-07
-0.19	8.60143e-06	8.60811e-07
-0.17	9.19161e-06	8.90415e-07
-0.15	8.32855e-06	8.46631e-07
-0.13	8.91298e-06	8.75568e-07
-0.11	8.9632e-06	8.70337e-07
-0.09	9.50377e-06	8.91176e-07
-0.0700001	8.64587e-06	8.52281e-07
-0.0500001	8.90299e-06	8.57199e-07
-0.0300001	8.77676e-06	8.58012e-07
-0.00999999	8.76313e-06	8.50172e-07
0.00999999	8.43075e-06	8.3579e-07
