# scan = 82
# date = 7/5/2024
# time = 9:39:57 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 424
# command = scan h 0+0.5 k 0+0.5 l 2.9 e 0.1 4 0.1 preset mcu 60
# builtin_command = scan h 0+0.5 k 0+0.5 l 2.9 e 0.1 4 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Songxue Chi, Bing Li
# scan_title = HH2.9 scan new at Q=[0+0.5 0+0.5 2.9]
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = NiTiO3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.034785,5.034785,13.812004,90.000000,90.000000,120.000000
# ubmatrix = -0.016965,-0.026212,-0.071913,-0.201388,-0.193307,0.007769,-0.108415,0.120600,-0.003178
# mode = 0
# plane_normal = -0.040320,0.035237,0.998565
# ubconf = UB02Jul2024_34030PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp     temp_2
     11     0.5000     0.5000     2.9000     1.1000     61.799      1.000 144001.000     60.000    88.7854   146.2940   -67.4120     0.4200    -1.0000    30.3920     1.4975    68.6976     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     5.9000     4.8000     1.4390     1.4283     1.0000   120.000
     12     0.5000     0.5000     2.9000     1.2000     61.416      0.000 144001.000     60.000    88.0424   146.6133   -66.7735     0.4200    -1.0000    30.5760     1.6875    68.3110     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.0000     4.8000     1.4392     1.4288     1.0000   120.000
     13     0.5000     0.5000     2.9000     1.3000     61.976      3.000 144001.000     60.000    87.3274   146.9235   -66.1530     0.4200    -1.0000    30.7560     1.8775    67.9283     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.1000     4.8000     1.4393     1.4291     1.0000   120.000
     14     0.5000     0.5000     2.9001     1.4000     63.727      0.000 144001.000     60.000    86.6085   147.2252   -65.5497     0.4200    -1.0000    30.9400     2.0700    67.5492     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.2000     4.8000     1.4391     1.4276     1.0000   120.000
     15     0.5000     0.5000     2.8999     1.5000     64.754      1.000 144001.000     60.000    85.9166   147.5186   -64.9628     0.4200    -1.0000    31.1200     2.2575    67.1737     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.3000     4.8000     1.4390     1.4268     1.0000   120.000
     16     0.5000     0.5000     2.9000     1.6000     66.158      1.000 144001.000     60.000    85.2506   147.8042   -64.3915     0.4200    -1.0000    31.2960     2.4500    66.8016     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.4000     4.8000     1.4391     1.4281     1.0000   120.000
     17     0.5000     0.5000     2.9000     1.7000     66.031      1.000 144001.000     60.000    84.5949   148.0824   -63.8352     0.4200    -1.0000    31.4720     2.6425    66.4326     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.5000     4.8000     1.4390     1.4277     1.0000   120.000
     18     0.5000     0.5000     2.9000     1.8000     66.656      0.000 144001.000     60.000    83.9492   148.3534   -63.2932     0.4200    -1.0000    31.6480     2.8350    66.0669     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.6000     4.8000     1.4392     1.4281     1.0000   120.000
      19     0.5000     0.5000     2.8999     1.9000     66.865      0.000 144001.000     60.000    83.3132   148.6175   -62.7650     0.4200    -1.0000    31.8240     3.0250    65.7042     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.7000     4.8000     1.4394     1.4276     1.0000   120.000
      20     0.5000     0.5000     2.9000     2.0000     67.597      0.000 144001.000     60.000    82.7010   148.8751   -62.2498     0.4200    -1.0000    31.9960     3.2200    65.3444     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.8000     4.8000     1.4393     1.4275     1.0000   120.000
