        6.02500   266099.29078014    12287.32359019
        6.07500   287659.57446809    12775.41021186
        6.12500   271205.67375887    12404.65878529
        6.17500   295035.46099291    12938.16085219
        6.22500   274042.55319149    12469.36792955
        6.27500   284822.69503546    12712.25900846
        6.32500   271205.67375887    12404.65878529
        6.37500   296170.21276596    12963.01805253
        6.42500   293333.33333333    12900.78524925
        6.47500   284822.69503546    12712.25900846
        6.52500   271773.04964539    12417.62759049
        6.57500   279148.93617021    12585.00596472
        6.62500   268368.79432624    12339.61030975
        6.67500   284822.69503546    12712.25900846
        6.72500   278581.56028369    12572.20981910
        6.77500   298439.71631206    13012.59000418
        6.82500   280851.06382979    12623.31657378
        6.87500   266666.66666667    12300.41610705
        6.92500   305815.60283688    13172.41051489
        6.97500   281985.81560284    12648.79251609
        7.02500   287659.57446809    12775.41021186
        7.07500   258723.40425532    12115.83347748
        7.12500   288794.32624113    12800.58345836
        7.17500   285957.44680851    12737.55706136
        7.22500   290496.45390071    12838.25077899
        7.27500   274609.92907801    12482.26950355
        7.32500   300709.21985816    13061.97382493
        7.37500   276879.43262411    12533.74299823
        7.42500   295035.46099291    12938.16085219
        7.47500   261560.28368794    12182.07690983
        7.52500   269503.54609929    12365.67076182
        7.57500   303546.09929078    13123.44227656
        7.62500   289361.70212766    12813.15153547
        7.67500   275177.30496454    12495.15775634
        7.72500   289361.70212766    12813.15153547
        7.77500   282553.19148936    12661.51126492
        7.82500   297304.96453901    12987.82767916
        7.87500   255319.14893617    12035.86010530
        7.92500   303546.09929078    13123.44227656
        7.97500   297872.34042553    13000.21473746
        8.02500   265531.91489362    12274.21710796
        8.07500   321702.12765957    13510.21946076
        8.12500   280851.06382979    12623.31657378
        8.17500   320567.37588652    13486.37086412
        8.22500   287659.57446809    12775.41021186
        8.27500   300709.21985816    13061.97382493
        8.32500   289361.70212766    12813.15153547
        8.37500   289929.07801418    12825.70729697
        8.42500   268368.79432624    12339.61030975
        8.47500   291631.20567376    12863.30104823
        8.52500   292765.95744681    12888.30262877
        8.57500   295602.83687943    12950.59541619
        8.62500   292214.21506288     9087.42980970
        8.67500   295888.08817295     9144.37738441
        8.72500   295040.27130140     9131.26715919
        8.77500   282323.01822806     8932.30500454
        8.82500   290801.18694362     9065.43164185
        8.87500   292214.21506288     9087.42980970
        8.92500   299844.56690688     9205.31155851
        8.97500   301822.80627384     9235.62788660
        9.02500   301540.20064999     9231.30307817
        9.07500   293909.84880599     9113.75752245
        9.12500   273279.63826480     8788.08071526
        9.17500   279496.96198954     8887.48633235
        9.22500   289953.37007206     9052.20708099
        9.27500   293344.63755829     9104.99007692
        9.32500   292779.42631058     9096.21418083
        9.37500   307192.31312703     9317.41784476
        9.42500   281475.20135651     8918.88305104
        9.47500   297583.72191607     9170.54160779
        9.52500   286562.10258584     8999.11449942
