# {InputWorkspace: 150K_Td_mesh_P19	 P1Bin: -2.05,-1.95	 P2Bin: -0.05,0.05	 P3Bin: -2,0,2	 P4Bin: 	 P5Bin: 	 OutputWorkspace: 150K_Td_mesh_P19_cut_-20L }
# [0,0,L] in 0.447 A^-1	 Signal	 Error
1.23077	5.62037e-05	5.15877e-06
1.25128	4.70999e-05	4.70865e-06
1.27179	4.38046e-05	4.54294e-06
1.29231	3.52775e-05	4.06642e-06
1.31282	3.46061e-05	4.03227e-06
1.33333	3.0791e-05	3.8178e-06
1.35385	-nan	-nan
1.37436	-nan	-nan
1.39487	-nan	-nan
1.41538	-nan	-nan
1.4359	-nan	-nan
1.45641	-nan	-nan
1.47692	-nan	-nan
1.49744	-nan	-nan
1.51795	-nan	-nan
1.53846	-nan	-nan
1.55897	-nan	-nan
1.57949	-nan	-nan
1.6	-nan	-nan
1.62051	-nan	-nan
1.64103	-nan	-nan
1.66154	-nan	-nan
1.68205	-nan	-nan
1.70256	-nan	-nan
1.72308	-nan	-nan
1.74359	-nan	-nan
1.7641	-nan	-nan
1.78462	-nan	-nan
1.80513	-nan	-nan
1.82564	-nan	-nan
1.84615	-nan	-nan
1.86667	-nan	-nan
1.88718	-nan	-nan
1.90769	-nan	-nan
1.92821	-nan	-nan
1.94872	-nan	-nan
1.96923	-nan	-nan
1.98974	-nan	-nan
