# {InputWorkspace: 150K_Td_mesh_P52	 P1Bin: -3.1,-2.9	 P2Bin: -1.1,-0.9	 P3Bin: -2,0,2	 P4Bin: 	 P5Bin: 	 OutputWorkspace: 150K_Td_mesh_P52_cut_-3-1L }
# [0,0,L] in 0.449 A^-1	 Signal	 Error
1.47692	-nan	-nan
1.49744	-nan	-nan
1.51795	-nan	-nan
1.53846	-nan	-nan
1.55897	-nan	-nan
1.57949	-nan	-nan
1.6	-nan	-nan
1.62051	-nan	-nan
1.64103	-nan	-nan
1.66154	-nan	-nan
1.68205	-nan	-nan
1.70256	-nan	-nan
1.72308	-nan	-nan
1.74359	-nan	-nan
1.7641	-nan	-nan
1.78462	-nan	-nan
1.80513	-nan	-nan
1.82564	-nan	-nan
1.84615	-nan	-nan
1.86667	-nan	-nan
1.88718	-nan	-nan
1.90769	-nan	-nan
1.92821	-nan	-nan
1.94872	-nan	-nan
1.96923	-nan	-nan
1.98974	-nan	-nan
