# {InputWorkspace: MoTe2_S1_P0_warm_up_201_150K_target_149.8258actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P0_warm_up_201_150K_target_149.8258actual_cuts }
# [0,0,L] in 0.454 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	1.48801e-05	1.157e-06
-1.15	1.56822e-05	1.19011e-06
-1.13	1.68601e-05	1.23828e-06
-1.11	1.91366e-05	1.32353e-06
-1.09	2.02392e-05	1.35984e-06
-1.07	2.26908e-05	1.44444e-06
-1.05	2.25674e-05	1.44007e-06
-1.03	2.40133e-05	1.48721e-06
-1.01	2.69296e-05	1.57641e-06
-0.99	2.65903e-05	1.56521e-06
-0.97	2.67012e-05	1.58015e-06
-0.95	2.6786e-05	1.57846e-06
-0.93	2.74643e-05	1.60401e-06
-0.91	2.7278e-05	1.59198e-06
-0.89	2.71665e-05	1.58987e-06
-0.87	2.60226e-05	1.55656e-06
-0.85	2.54563e-05	1.53941e-06
-0.83	2.36059e-05	1.48313e-06
-0.81	2.36532e-05	1.47918e-06
-0.79	2.10836e-05	1.39062e-06
-0.77	1.93771e-05	1.33191e-06
-0.75	1.76279e-05	1.27174e-06
-0.73	1.57167e-05	1.19669e-06
-0.71	1.47403e-05	1.15109e-06
-0.69	1.25918e-05	1.06396e-06
-0.67	1.1079e-05	9.96389e-07
-0.65	1.03947e-05	9.54369e-07
-0.63	1.02235e-05	9.43454e-07
-0.61	9.20598e-06	8.89727e-07
-0.59	9.77768e-06	9.29022e-07
-0.57	9.08335e-06	8.87699e-07
-0.55	8.9708e-06	8.83098e-07
-0.53	8.63513e-06	8.70135e-07
-0.51	8.32051e-06	8.51847e-07
-0.49	8.43668e-06	8.60769e-07
-0.47	8.27821e-06	8.57103e-07
-0.45	7.86637e-06	8.32145e-07
-0.43	8.12017e-06	8.45902e-07
-0.41	8.39782e-06	8.61861e-07
-0.39	8.53976e-06	8.68569e-07
-0.37	7.9361e-06	8.41581e-07
-0.35	8.36037e-06	8.60542e-07
-0.33	7.33238e-06	8.06432e-07
-0.31	8.3044e-06	8.6471e-07
-0.29	8.11987e-06	8.46355e-07
-0.27	8.73623e-06	8.83866e-07
-0.25	8.10394e-06	8.52306e-07
-0.23	7.62773e-06	8.27462e-07
-0.21	8.16718e-06	8.57532e-07
-0.19	8.38104e-06	8.67978e-07
-0.17	8.58993e-06	8.81055e-07
-0.15	8.53029e-06	8.76607e-07
-0.13	8.18922e-06	8.55276e-07
-0.11	8.50524e-06	8.76048e-07
-0.09	8.77767e-06	8.85588e-07
-0.0700001	8.72706e-06	8.84632e-07
-0.0500001	9.33142e-06	9.12213e-07
-0.0300001	9.43429e-06	9.23177e-07
-0.00999999	9.36327e-06	9.07864e-07
