# {InputWorkspace: MoTe2_S1_P0_cool_down_201_200K_target_206.151actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P0_cool_down_201_200K_target_206.151actual_cuts }
# [0,0,L] in 0.454 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	1.4987e-05	1.4186e-06
-1.15	1.69506e-05	1.51988e-06
-1.13	1.87548e-05	1.61033e-06
-1.11	2.06898e-05	1.68841e-06
-1.09	2.36059e-05	1.80373e-06
-1.07	2.54123e-05	1.87469e-06
-1.05	2.73303e-05	1.94479e-06
-1.03	3.00024e-05	2.03635e-06
-1.01	3.24597e-05	2.12752e-06
-0.99	3.43319e-05	2.18726e-06
-0.97	3.62848e-05	2.24527e-06
-0.95	3.5164e-05	2.2089e-06
-0.93	3.6189e-05	2.23965e-06
-0.91	3.50689e-05	2.20108e-06
-0.89	3.4972e-05	2.20418e-06
-0.87	3.47336e-05	2.19522e-06
-0.85	3.40768e-05	2.1816e-06
-0.83	3.4747e-05	2.19843e-06
-0.81	3.2341e-05	2.12066e-06
-0.79	3.18783e-05	2.10735e-06
-0.77	2.86202e-05	1.98494e-06
-0.75	2.58657e-05	1.88425e-06
-0.73	2.15669e-05	1.72162e-06
-0.71	2.18014e-05	1.72731e-06
-0.69	1.79841e-05	1.55674e-06
-0.67	1.60822e-05	1.47114e-06
-0.65	1.31599e-05	1.3161e-06
-0.63	1.23501e-05	1.2701e-06
-0.61	1.25716e-05	1.28688e-06
-0.59	1.13711e-05	1.2139e-06
-0.57	1.04529e-05	1.16437e-06
-0.55	1.00232e-05	1.14597e-06
-0.53	9.91522e-06	1.12589e-06
-0.51	9.56534e-06	1.11483e-06
-0.49	9.54708e-06	1.12533e-06
-0.47	1.02179e-05	1.16273e-06
-0.45	9.77952e-06	1.13418e-06
-0.43	9.23025e-06	1.10563e-06
-0.41	8.74681e-06	1.07731e-06
-0.39	8.41015e-06	1.05515e-06
-0.37	8.38479e-06	1.05388e-06
-0.35	8.3686e-06	1.05402e-06
-0.33	8.85687e-06	1.08527e-06
-0.31	8.3604e-06	1.05238e-06
-0.29	8.47777e-06	1.05429e-06
-0.27	8.47891e-06	1.05722e-06
-0.25	8.83063e-06	1.08241e-06
-0.23	8.61642e-06	1.07321e-06
-0.21	8.60727e-06	1.06868e-06
-0.19	8.9336e-06	1.09254e-06
-0.17	9.01464e-06	1.09928e-06
-0.15	8.68496e-06	1.07672e-06
-0.13	8.90849e-06	1.10243e-06
-0.11	9.83701e-06	1.1493e-06
-0.09	9.46612e-06	1.12525e-06
-0.0700001	9.14617e-06	1.11302e-06
-0.0500001	1.02455e-05	1.16821e-06
-0.0300001	9.91369e-06	1.14966e-06
-0.00999999	9.7717e-06	1.13831e-06
